υπερλήμμα	λήμμα	CEF level	Συχνότητα (Frequency)	τύπος λέξης
	έννοια	A1	11129	ουσ.	
	χρωματίζω	A1	11084	ρ.	
	κορυφή	A1	11076	ουσ.	
	ασθενής	A1	11037	επίθ., ουσ.
	συνεργασία	A1	11016	ουσ.	
	αντικείμενο	A1	10988	ουσ.	
	επιστήμη	A1	10978	ουσ.	
	κομμάτι	A1	10967	ουσ.	
	καθένας	A1	10931	αόρ. αντων.
	κατασκευή	A1	10928	ουσ.	
	ερώτηση	A1	10918	ουσ.	
	εξέλιξη	A1	10912	ουσ.	
	συμμετέχω	A1	10878	ρ.	
	πορεία	A1	10838	ουσ.	
	ξένος	A1	10836	επίθ.	
	εκδήλωση	A1	10784	ουσ.	
	κάθομαι	A1	10755	ρ.	
	προσθέτω	A1	10737	ρ.	
	ψέμα	A1	10702	ουσ.	
	εκφράζω	A1	10691	ρ.	
	σοβαρός	A1	10679	επίθ.	
	ποιότητα	A1	10674	ουσ.	
ποιότητα	ποιότητα ζωής			ονοματική φράση	
	μοναδικός	A1	10601	επίθ.	
	νησί	A1	10591	ουσ.	
	συνδέω	A1	10577	ρ.	
	τελειώνω	A1	10576	ρ.	
	καθηγητής	A1	10569	ουσ.	
	ηλεκτρονικός	A1	10503	επίθ.	
	παράδοση	A1	10503	ουσ.	
	γεννάω	A1	10499	ρ.	
	σημερινός	A1	10490	επίθ.	
	λεπτό	A1	10460	ουσ., επίθ.
	οπότε	A1	10460	συμπλ. σύνδ.
	οφείλω	A1	10454	ρ.	
	ασχολούμαι	A1	10421	ρ.	
	πηγή	A1	10420	ουσ.	
	χαράζω, χαράσσω	A1	10419	ρ.	
	καλύπτω	A1	10389	ρ.	
	προτείνω	A1	10331	ρ.	
	κίνδυνος	A1	10299	ουσ.	
	επιστημονικός	A1	10284	επίθ.	
	υπόθεση	A1	10278	ουσ.	
	εξής	A1	10250	επίρρ.	
	πνεύμα	A1	10247	ουσ.	
	αναπτύσσω	A1	10236	ρ.	
	μέσος	A1	10230	επίθ.	
μέσος	μέση ηλικία			ονοματική φράση	
μέσος	μέσος όρος			ονοματική φράση	
	δουλεύω	A1	10186	ρ.	
	αποκτώ	A1	10141	ρ.	
	επικοινωνία	A1	10136	ουσ.	
	όργανο	A1	10134	ουσ.	
	έκθεση	A1	10113	ουσ.	
	κερδίζω	A1	10109	ρ.	
κερδίζω	κερδίζω χρήματα			ρηματική φράση	
	βάρος	A1	10108	ουσ.	
	προστασία	A1	10107	ουσ.	
	πολιτικά	A1	10104	επίρρ., επίθ., ουσ.
	εμφάνιση	A1	10102	ουσ.	
	τεχνολογία	A1	10050	ουσ.	
	άνηθος, άνιθος	A1	10025	επίθ.	
	φωνή	A1	9922	ουσ.	
	αναφορά	A1	9884	ουσ.	
	τελικός	A1	9873	επίθ.	
	πεθαίνω	A1	9847	ρ.	
	εκπαιδευτικός	A1	9820	επίθ., ουσ.
	πνευματικός	A1	9802	επίθ.	
πνευματικός	πνευματική ιδιοκτησία			ονοματική φράση	
	αποστολή	A1	9796	ουσ.	
	εξουσία	A1	9786	ουσ.	
	εφημερίδα	A1	9769	ουσ.	
	καλώ	A1	9732	ρ., επίθ.
	διατηρώ	A1	9715	ρ.	
	πληρώνω	A1	9706	ρ.	
	σίγουρα	A1	9699	επίρρ., επίθ.
	Ολυμπιακός	A1	9697	επίθ., ουσ.	
	ενδιαφέρον	A1	9689	ουσ., επίθ.
	ποσό	A1	9629	ουσ.	
	κανόνας	A1	9571	ουσ.	
	αντί	A1	9550	πρόθ., ουσ., πρόθ.
	δίκτυο	A1	9537	ουσ.	
	ύπαρξη	A1	9484	ουσ.	
	μέσο	A1	9475	ουσ., επίθ.
	μέλλον	A1	9468	ουσ., μτχ., ρ.
	δημοτικός	A1	9454	επίθ.	
δημοτικός	δημοτικό συμβούλιο			ονοματική φράση	
δημοτικός	δημοτικό σχολείο			ονοματική φράση
	ονομάζω	A1	9452	ρ.	
	γυρίζω	A1	9447	ρ.	
γυρίζω	γυρίζω το κεφάλι			ρηματική φράση	
	χαμηλός	A1	9433	επίθ.	
χαμηλός	χαμηλός τόνος			ονοματική φράση	
	πραγματοποιώ	A1	9419	ρ.	
πραγματοποιώ	πραγματοποιώ λήψη			ρηματική φράση	
	συγγραφέας	A1	9408	ουσ.	
	σύλλογος	A1	9408	ουσ.	
	υπολογιστής	A1	9380	ουσ.	
	σύνολο	A1	9374	ουσ.	
	μυαλό	A1	9358	ουσ.	
	βήμα	A1	9356	ουσ.	
	παρέχω	A1	9300	ρ.	
	βοήθεια	A1	9286	ουσ.	
	αίμα	A1	9278	ουσ.	
	ζώο	A1	9262	ουσ.	
	κατάλληλος	A1	9262	επίθ.	
	χρώμα	A1	9262	ουσ.	
	ανώτερος	A1	9256	επίθ.	
	γιατρός	A1	9250	ουσ.	
	αμέσως	A1	9240	επίρρ., επιφ.
	τρέχω	A1	9220	ρ.	
	ισχύω	A1	9211	ρ.	
	εκλογή	A1	9210	ουσ.	
	εφαρμόζω	A1	9141	ρ.	
	διάστημα	A1	9137	ουσ.	
	εννοώ	A1	9137	ρ.	
	ουσιαστικό	A1	9132	ουσ., επίθ.
	ιδιαίτερος	A1	9118	επίθ.	
	χρηστός	A1	9089	επίθ.	
	ορίζω	A1	9087	ρ.	
	ιερός	A1	9086	επίθ.	
	φαινόμενο	A1	9056	ουσ.	
	ανάλυση	A1	9037	ουσ.	
	ευθύνη	A1	9032	ουσ.	
	αγοράζω	A1	9025	ρ.	
	τοποθετώ	A1	8983	ρ.	
	πετάω, πετώ	A1	8948	ρ.	
	συναντάω, συναντώ	A1	8936	ρ.	
	όνειρο	A1	8892	ουσ.	
	εσωτερικός	A1	8858	επίθ.	
	εξέταση	A1	8816	ουσ.	
	ωφέλεια	A1	8799	ουσ.	
	δυστυχώς	A1	8746	επίρρ.	
	διεύθυνση	A1	8736	ουσ.	
	απέναντι	A1	8730	επίρρ., πρόθ.
	συμπεριφορά	A1	8724	ουσ.	
	προχωρώ	A1	8711	ρ.	
	οικονομία	A1	8709	ουσ.	
	ενδιαφέρω	A1	8699	ρ.	
	παράγοντας	A1	8689	ουσ., ρ., μτχ.
	φοιτητής	A1	8689	ουσ.	
	παρατηρώ	A1	8684	ρ.	
	ανοιχτός, ανοικτός	A1	8671	επίθ.	
	δεκαετία	A1	8669	ουσ.	
	κόβω	A1	8666	ρ.	
	αύξηση	A1	8650	ουσ.	
	άσκηση	A1	8639	ουσ.	
	καίω	A1	8625	ρ.	
	σημειώνω	A1	8624	ρ.	
	ήλιος	A1	8597	ουσ.	
	αναγνωρίζω	A1	8596	ρ.	
	επιτυχία	A1	8583	ουσ.	
	παρουσία	A1	8583	ουσ.	
	όριο	A1	8575	ουσ.	
	τεράστιος	A1	8557	επίθ.	
	κεφάλαιο	A1	8551	ουσ.	
	ναός	A1	8534	ουσ.	
	ολοκληρώνω	A1	8519	ρ.	
	χτύπημα	A1	8518	ουσ.	
	κρίνω	A1	8458	ρ.	
	αρχείο	A1	8446	ουσ.	
	άδεια	A1	8442	ουσ., επίθ.
	μεταφέρω	A1	8422	ρ.	
	υπουργείο	A1	8406	ουσ.	
	έγγραφος	A1	8404	επίθ.	
	αναλαμβάνω	A1	8378	ρ.	
	εξηγώ	A1	8364	ρ.	
	κάτοικος	A1	8363	ουσ., επίθ.
	ποσοστό	A1	8360	ουσ.	
	περιέχω	A1	8343	ρ.	
	επιστρέφω	A1	8340	ρ.	
	μονάδα	A1	8331	ουσ.	
	περιοδικό	A1	8325	ουσ., επίθ.
	κοινό	A1	8315	ουσ., επίθ.	
	καθόλου	A1	8313	επίρρ.	
	παραδοσιακός	A1	8310	επίθ.	
	χαρακτηρισμός	A1	8301	ουσ.	
	κρύβω	A1	8296	ρ.	
	καταλήγω	A1	8240	ρ.	
	κεφάλι	A1	8225	ουσ.	
	διάθεση	A1	8221	ουσ.	
	εβδομάδα	A1	8221	ουσ.	
	πόνος	A1	8179	ουσ.	
	μειώνω	A1	8178	ρ.	
	ελπίζω	A1	8165	ρ.	
	δυτικός	A1	8158	επίθ.	
	κύκλος	A1	8155	ουσ.	
	περιεχόμενο	A1	8133	ουσ.	
	θεραπεία	A1	8106	ουσ.	
	κοιτάζω	A1	8098	ρ.	
κοιτάζω	κοιτάζω τριγύρω			ρηματική φράση	
	διάταξη	A1	8089	ουσ.	
	κρίση	A1	8083	ουσ.	
	υπεύθυνος	A1	8076	επίθ.	
	μακριά	A1	8075	επίρρ., επίθ.
	περιγράφω	A1	8066	ρ.	
	χρόνιος	A1	8055	επίθ.	
	μεταφορά	A1	8023	ουσ.	
	τέσσερις	A1	8003	απόλ., αριθ.
	στρατός	A1	7976	ουσ.	
	εύκολα	A1	7971	επίρρ., επίθ.
	μέγεθος	A1	7950	ουσ.	
	άμεσος	A1	7944	επίθ.	
	ικανότητα	A1	7930	ουσ.	
	ιατρικός	A1	7927	επίθ.	
	ισχυρός	A1	7927	επίθ.	
	δημόσια	A1	7925	επίρρ., επίθ.
	δίσκος	A1	7919	ουσ.	
	άλλωστε	A1	7910	επίρρ.	
	παρακολουθώ	A1	7906	ρ.	
	ανάλογα	A1	7904	επίρρ., επίθ.
ανάλογα	ανάλογα με			επιρρηματική φράση	
	αρχικός	A1	7897	επίθ.	
	ανώνυμος	A1	7879	επίθ.	
	ιδιωτικός	A1	7867	επίθ.	
	μισός	A1	7866	επίθ.	
	οδηγός	A1	7856	ουσ.	
	παρών -ούσα -ον	A1	7834	επίθ.	
παρών	παρούσα κατάσταση			ονοματική φράση	
	φορέας	A1	7822	ουσ.	
	όμορφος	A1	7818	επίθ.	
	βαθύς	A1	7796	επίθ.	
	νύχτα	A1	7787	ουσ.	
	μηχανή	A1	7783	ουσ.	
	εύκολος	A1	7773	επίθ.	
	θρησκεία	A1	7770	ουσ.	
	εγγραφή	A1	7763	ουσ.	
	στηρίζω	A1	7758	ρ.	
	επαφή	A1	7743	ουσ.	
	χιλιάδα	A1	7729	αριθ., ουσ.
	παίκτης, παίχτης	A1	7713	ουσ.	
	σταθμός	A1	7710	ουσ.	
	προέρχομαι	A1	7705	ρ.	
	δήλωση	A1	7685	ουσ.	
	ελευθερία	A1	7682	ουσ.	
	σχήμα	A1	7674	ουσ.	
	απόλυτα	A1	7672	επίρρ., επίθ., ουσ.
	πόσος	A1	7660	αντων., επίρρ., επίθ.
	μνήμη	A1	7640	ουσ.	
	πέντε	A1	7638	απόλ., αριθ.
	παιδεία	A1	7629	ουσ.	
	καθορίζω	A1	7620	ρ.	
	περιορίζω	A1	7613	ρ.	
	κίνημα	A1	7608	ουσ.	
	φάση	A1	7560	ουσ.	
	επιβάλλω	A1	7540	ρ.	
	αντίθετα	A1	7538	επίρρ., επίθ., ουσ.
	ανακαλύπτω	A1	7494	ρ.	
	λογικός	A1	7494	επίθ.	
	παρακαλώ	A1	7478	ρ., επιφ.
	λαϊκός	A1	7475	επίθ.	
	κοιτώ	A1	7467	ρ.	
	προσωπικό	A1	7462	ουσ., επίθ.
	φαντάζομαι	A1	7459	ρ.	
	έθνος	A1	7458	ουσ.	
	ελέγχω	A1	7448	ρ.	
	στρατιωτικός	A1	7448	επίθ., ουσ.
	οργανώνω	A1	7439	ρ.	
	άνω	A1	7436	επίρρ.	
	αξίζω	A1	7428	ρ.	
	διοίκηση	A1	7416	ουσ.	
	εργαζόμενος	A1	7408	επίθ., ουσ.
	αποφεύγω	A1	7402	ρ.	
	επαγγελματικός	A1	7367	επίθ.	
	ενημερώνω	A1	7357	ρ.	
	παρακάτω	A1	7335	ρ., επίρρ.
	ουρανός	A1	7320	ουσ.	
	επιπλέον	A1	7318	επίρρ., επίθ.
	σκοτώνω	A1	7316	ρ.	
	εγκατάσταση	A1	7302	ουσ.	
	γονέας	A1	7295	ουσ.	
	αριστερός	A1	7293	επίθ.	
	ενημέρωση	A1	7293	ουσ.	
	συνέπεια	A1	7289	ουσ.	
	εναντίον	A1	7270	πρόθ., επίρρ.
	τονίζω	A1	7253	ρ.	
	ήχος	A1	7248	ουσ.	
	νομικός	A1	7248	επίθ.	
	αναζήτηση	A1	7245	ουσ.	
	σίγουρος	A1	7230	επίθ.	
	πίστη	A1	7229	ουσ.	
	ταξίδι	A1	7229	ουσ.	
	προσοχή	A1	7228	ουσ.	
	μοιάζω	A1	7199	ρ.	
	στάση	A1	7179	ουσ.	
	παρελθόν	A1	7169	ουσ., μτχ.
	έτοιμος	A1	7162	επίθ.	
	χάρη	A1	7161	επίρρ., ουσ.
χάρη	χάρη σε			επιρρηματική φράση	
	θετικός	A1	7149	επίθ.	
	συζητάω, συζητώ	A1	7146	ρ.	
	ταυτόχρονα	A1	7138	επίρρ., επίθ.
	δωμάτιο	A1	7129	ουσ.	
	απόσταση	A1	7127	ουσ.	
	πληθυσμός	A1	7123	ουσ.	
	ανά	A1	7121	πρόθ.	
	πόρτα	A1	7120	ουσ.	
	πόδι	A1	7114	ουσ.	
	προκύπτω	A1	7107	ρ.	
	παράγω	A1	7102	ρ.	
	μητέρα	A1	7081	ουσ.	
	αισθάνομαι	A1	7066	ρ.	
	εισαγωγή	A1	7060	ουσ.	
	κινώ	A1	7035	ρ.	
	κόκκινος	A1	7026	επίθ.	
	σηκώνω	A1	7016	ρ.	
	προκειμένου	A1	7010	υποτ., μτχ., ουσ., σύνδ.
προκειμένου	προκειμένου να			έκφρ., υποτ.	
προκειμένου	προκειμένου για			έκφρ., υποτ.	
	αιτία	A1	6977	ουσ.	
	πλοίο	A1	6971	ουσ.	
	ξανά	A1	6968	επίρρ.	
	γρήγορα	A1	6949	επίρρ., επίθ.
	κάπου	A1	6938	επίρρ.	
	επιφάνεια	A1	6935	ουσ.	
	κόστος	A1	6931	ουσ.	
	συμφέρον	A1	6930	ουσ., μτχ.
	έδαφος	A1	6927	ουσ.	
	φωτιά	A1	6907	ουσ.	
	βράδυ	A1	6902	ουσ., επίρρ.
	ύψος	A1	6897	ουσ.	
	πλούσιος	A1	6892	επίθ.	
	καταστροφή	A1	6887	ουσ.	
	συμφωνία	A1	6875	ουσ.	
	αντίστοιχος	A1	6871	επίθ.	
	ερώτημα	A1	6871	ουσ.	
	εμπορικός	A1	6853	επίθ.	
	δικαστήριο	A1	6845	ουσ.	
	προβλέπω	A1	6838	ρ.	
	επίσημος	A1	6829	επίθ.	
	οδηγία	A1	6823	ουσ.	
	τράπεζα	A1	6823	ουσ.	
	όπλο	A1	6816	ουσ.	
	ταχύτητα	A1	6812	ουσ.	
	πρακτικός	A1	6811	επίθ.	
	παράλληλα	A1	6809	επίρρ., επίθ.
	εντελώς	A1	6806	επίρρ.	
	προτιμώ	A1	6803	ρ.	
	αντίδραση	A1	6795	ουσ.	
	νεκρός	A1	6794	επίθ., ουσ.
	πίεση	A1	6794	ουσ.	
	σώζω	A1	6790	ρ.	
	αλλιώς	A1	6778	επίρρ.	
	εντός	A1	6775	επίρρ., πρόθ.
	τηλέφωνο	A1	6768	ουσ.	
	υπέρ	A1	6755	πρόθ., επίρρ., ουσ.
	πιθανός	A1	6748	επίθ.	
	δίπλα	A1	6738	επίρρ., ουσ.
	καθημερινός	A1	6735	επίθ.	
καθημερινός	καθημερινή ζωή			ονοματική φράση	
	αμερικάνικος	A1	6725	επίθ.	
	επάνω	A1	6721	επίρρ.	
	προσωπικά	A1	6718	επίρρ., επίθ.
	εργαστήριο	A1	6684	ουσ.	
	σωστά	A1	6682	επίρρ., επίθ.
	πρωί	A1	6678	ουσ.	
	διάσταση	A1	6673	ουσ.	
	ιστοσελίδα	A1	6665	ουσ.	
	νομός	A1	6657	ουσ.	
	Πέμπτη	A1	6630	κ.ό.
	πότε	A1	6590	επίρρ.	
πότε	πότε-πότε			έκφρ., συμπλ., επίρρ.
	σπουδή	A1	6589	ουσ.	
	έκφρ.	A1	6580	ουσ.	
	τάση	A1	6570	ουσ.	
	πεδίο	A1	6569	ουσ.	
	μοντέλο	A1	6565	ουσ.	
	μάχη	A1	6550	ουσ.	
	αντίληψη	A1	6548	ουσ.	
	εφόσον	A1	6540	υποτ., σύνδ.
	διδάσκω	A1	6533	ρ.	
	πετυχαίνω	A1	6531	ρ.	
πετυχαίνω	πετυχαίνω γκολ			ρηματική φράση	
	ευρύς	A1	6529	επίθ.	
ευρύς	ευρεία ζώνη			ονοματική φράση	
	τηλεόραση	A1	6501	ουσ.	
	γράμμα	A1	6497	ουσ.	
	επηρεάζω	A1	6490	ρ.	
	εξωτερικός	A1	6488	επίθ.	
εξωτερικός	εξωτερική πολιτική			ονοματική φράση	
	καλοκαίρι	A1	6477	ουσ.	
	γάμος	A1	6475	ουσ.	
	μετράω	A1	6446	ρ.	
	επίθεση	A1	6442	ουσ.	
	συμπέρασμα	A1	6441	ουσ.	
	σκληρός	A1	6440	επίθ.	
σκληρός	σκληρός δίσκος			ονοματική φράση
	σύνδεση	A1	6439	ουσ.	
	είσοδος	A1	6433	ουσ.	
	δοκιμάζω	A1	6432	ρ.	
	στάδιο	A1	6431	ουσ.	
	κριτική	A1	6428	ουσ., επίθ.
	λογική	A1	6427	ουσ., επίθ.
	διαπιστώνω	A1	6422	ρ.	
	αληθινός	A1	6419	επίθ.	
	πολιτιστικός	A1	6406	επίθ.	
πολιτιστικός	πολιτιστική κληρονομιά			ονοματική φράση	
	προσφορά	A1	6402	ουσ.	
	πελάτης	A1	6393	ουσ.	
	μήκος	A1	6388	ουσ.	
	ελάχιστος	A1	6377	επίθ.	
	προσέχω	A1	6375	ρ.	
	φύλλο	A1	6352	ουσ.	
	στον	A1	1040	άρθρ., πρόθ.	
	εξετάζω	A2	6348	ρ.	
	κυκλοφορώ	A2	6347	ρ.	
	επισκέπτομαι	A2	6345	ρ.	
	καινούργιος	A2	6343	επίθ.	
	λευκός	A2	6330	επίθ.	
	διακοπή	A2	6321	ουσ.	
	χορταίνω	A2	6320	ρ.	
	δίκαιο	A2	6309	ουσ., επίθ.
	κρατικός	A2	6302	επίθ.	
	έντονος	A2	6291	επίθ.	
	καθαρός	A2	6291	επίθ.	
	κάποτε	A2	6269	επίρρ.	
	είδηση	A2	6263	ουσ.	
	ηλεκτρικός	A2	6263	επίθ., ουσ.
	διαχείριση	A2	6249	ουσ.	
	συνάντηση	A2	6244	ουσ.	
	έλλειψη	A2	6239	ουσ.	
	ξεπερνάω, ξεπερνώ	A2	6228	ρ.	
	επανάσταση	A2	6216	ουσ.	
	φοράω, φορώ	A2	6200	ρ.	
	χθεσινός	A2	6200	επίθ.	
	γεμάτος	A2	6197	επίθ.	
	άρα	A2	6190	συμπλ., επίρρ.
	οδός	A2	6190	ουσ.	
	εξωτερικό	A2	6189	ουσ., επίθ.
	συνείδηση	A2	6186	ουσ.	
	πίνακας	A2	6172	ουσ.	
	φάρμακο	A2	6164	ουσ.	
	καταστρέφω	A2	6157	ρ.	
	κατασκευάζω	A2	6148	ρ.	
	σιγά	A2	6141	επίρρ., ουσ.
σιγά	σιγά-σιγά			επιρρηματική φράση, επιφ.
	πάρα	A2	6138	μόρ., επίρρ., πρόθ., ρ.
	πράσινος	A2	6137	επίθ.	
	επιτυγχάνω	A2	6132	ρ.	
	θέατρο	A2	6124	ουσ.	
	φυτό	A2	6122	ουσ.	
	μαζεύω	A2	6121	ρ.	
	βασίζω	A2	6115	ρ.	
	πατάω, πατώ	A2	6108	ρ.	
	κάρτα	A2	6101	ουσ., επίρρ.
	παραλία	A2	6097	ουσ., επίθ.
	αντιμετώπιση	A2	6086	ουσ.	
	βόρειος	A2	6079	επίθ.	
	παιδικός	A2	6079	επίθ.	
παιδικός	παιδικός σταθμός			ονοματική φράση	
παιδικός	παιδική ηλικία			ονοματική φράση	
παιδικός	παιδική χαρά			ονοματική φράση
παιδικός	παιδικά χρόνια			ονοματική φράση	
	παράθεση	A2	6078	ουσ.	
	ένταξη	A2	6075	ουσ.	
	θρησκευτικός	A2	6073	επίθ.	
	Χριστός	A2	6071	κ.ό.	
	βέβαιος	A2	6061	επίθ.	
	αίσθηση	A2	6060	ουσ.	
	ημερομηνία	A2	6040	ουσ.	
	εξασφαλίζω	A2	6038	ρ.	
	φόβος	A2	6026	ουσ.	
	ρυθμός	A2	6025	ουσ.	
	ανεβαίνω	A2	6012	ρ.	
	ποσότητα	A2	5988	ουσ.	
	πρόσβαση	A2	5986	ουσ.	
	τακτικός	A2	5961	επίθ.	
	μουσείο	A2	5960	ουσ.	
	χρονικός	A2	5952	επίθ.	
χρονικός	χρονικό διάστημα			ονοματική φράση	
	διοικητικός	A2	5949	επίθ., ουσ.
